S,T,K,r,q,price,callPut
100,0.05,96,0.0091,0.022,2.59226,-1
100,0.05,97,0.0091,0.022,2.94311,-1
100,0.05,98,0.0091,0.022,3.37376,-1
100,0.05,99,0.0091,0.022,3.88621,-1
100,0.05,103,0.0091,0.022,1.54406,1
100,0.05,104,0.0091,0.022,1.42851,1
100,0.05,105,0.0091,0.022,1.353,1
100,0.05,106,0.0091,0.022,1.30822,1
100,0.13,90,0.0091,0.022,8.25083,1
100,0.13,95,0.0091,0.022,5.20851,1
100,0.13,98,0.0091,0.022,4.064,1
100,0.13,102,0.0091,0.022,11.1023,-1
100,0.13,105,0.0091,0.022,13.6701,-1
100,0.13,110,0.0091,0.022,18.1598,-1
100,0.25,70,0.0113,0.023,18.903,1
100,0.25,80,0.0113,0.023,6.4365,-1
100,0.25,90,0.0113,0.023,9.49769,-1
100,0.25,115,0.0113,0.023,2.85926,1
100,0.5,60,0.0113,0.025,5.92168,-1
100,0.5,95,0.0113,0.025,21.1539,-1
100,0.5,130,0.0113,0.025,1.76009,1
100,0.5,150,0.0113,0.025,1.28124,1
100,1,50,0.0157,0.025,5.00905,1
100,1,75,0.0157,0.025,18.5569,-1
100,1,110,0.0157,0.025,43.6259,-1
100,1,125,0.0157,0.025,0.614215,1
100,1,150,0.0157,0.025,0.418008,1
