S,T,K,r,q,price,callPut
100,0.05,96,0.0091,0.022,1.76247,-1
100,0.05,97,0.0091,0.022,2.10838,-1
100,0.05,98,0.0091,0.022,2.49875,-1
100,0.05,99,0.0091,0.022,2.93491,-1
100,0.05,103,0.0091,0.022,2.14414,1
100,0.05,104,0.0091,0.022,1.80964,1
100,0.05,105,0.0091,0.022,1.51596,1
100,0.05,106,0.0091,0.022,1.26049,1
100,0.13,90,0.0091,0.022,11.7803,1
100,0.13,95,0.0091,0.022,8.26653,1
100,0.13,98,0.0091,0.022,6.48577,1
100,0.13,102,0.0091,0.022,6.63276,-1
100,0.13,105,0.0091,0.022,8.47248,-1
100,0.13,110,0.0091,0.022,12.072,-1
100,0.25,70,0.0113,0.023,30.1638,1
100,0.25,80,0.0113,0.023,1.50322,-1
100,0.25,90,0.0113,0.023,3.69913,-1
100,0.25,115,0.0113,0.023,2.62255,1
100,0.5,60,0.0113,0.025,0.825745,-1
100,0.5,95,0.0113,0.025,8.76003,-1
100,0.5,130,0.0113,0.025,2.68949,1
100,0.5,150,0.0113,0.025,1.15625,1
100,1,50,0.0157,0.025,49.7581,1
100,1,75,0.0157,0.025,5.95228,-1
100,1,110,0.0157,0.025,22.2185,-1
100,1,125,0.0157,0.025,7.5101,1
100,1,150,0.0157,0.025,3.87508,1
