S,T,K,r,q,price,callPut
100,0.05,96,0.0091,0.022,0.346124,-1
100,0.05,97,0.0091,0.022,0.59214,-1
100,0.05,98,0.0091,0.022,0.920186,-1
100,0.05,99,0.0091,0.022,1.33505,-1
100,0.05,103,0.0091,0.022,0.735476,1
100,0.05,104,0.0091,0.022,0.569969,1
100,0.05,105,0.0091,0.022,0.459242,1
100,0.05,106,0.0091,0.022,0.393144,1
100,0.13,90,0.0091,0.022,9.72778,1
100,0.13,95,0.0091,0.022,5.36457,1
100,0.13,98,0.0091,0.022,3.48079,1
100,0.13,102,0.0091,0.022,4.53972,-1
100,0.13,105,0.0091,0.022,6.98975,-1
100,0.13,110,0.0091,0.022,11.707,-1
100,0.25,70,0.0113,0.023,28.3561,1
100,0.25,80,0.0113,0.023,0.444077,-1
100,0.25,90,0.0113,0.023,1.16817,-1
100,0.25,115,0.0113,0.023,1.74681,1
100,0.5,60,0.0113,0.025,0.168574,-1
100,0.5,95,0.0113,0.025,5.10122,-1
100,0.5,130,0.0113,0.025,2.03644,1
100,0.5,150,0.0113,0.025,1.33567,1
100,1,50,0.0157,0.025,35.9366,1
100,1,75,0.0157,0.025,2.07347,-1
100,1,110,0.0157,0.025,21.078,-1
100,1,125,0.0157,0.025,3.4092,1
100,1,150,0.0157,0.025,2.17712,1
