S,T,K,r,q,price,callPut
100,0.05,96,0.0091,0.022,0.405393,-1
100,0.05,97,0.0091,0.022,0.723331,-1
100,0.05,98,0.0091,0.022,1.13314,-1
100,0.05,99,0.0091,0.022,1.63684,-1
100,0.05,103,0.0091,0.022,0.971378,1
100,0.05,104,0.0091,0.022,0.880085,1
100,0.05,105,0.0091,0.022,0.832013,1
100,0.05,106,0.0091,0.022,0.816253,1
100,0.13,90,0.0091,0.022,8.11774,1
100,0.13,95,0.0091,0.022,4.41446,1
100,0.13,98,0.0091,0.022,3.15782,1
100,0.13,102,0.0091,0.022,6.18221,-1
100,0.13,105,0.0091,0.022,8.9848,-1
100,0.13,110,0.0091,0.022,13.7951,-1
100,0.25,70,0.0113,0.023,24.2743,1
100,0.25,80,0.0113,0.023,0.462654,-1
100,0.25,90,0.0113,0.023,1.45423,-1
100,0.25,115,0.0113,0.023,2.63537,1
100,0.5,60,0.0113,0.025,0.138094,-1
100,0.5,95,0.0113,0.025,9.20239,-1
100,0.5,130,0.0113,0.025,2.33373,1
100,0.5,150,0.0113,0.025,1.70153,1
100,1,50,0.0157,0.025,14.2776,1
100,1,75,0.0157,0.025,3.8306,-1
100,1,110,0.0157,0.025,28.0611,-1
100,1,125,0.0157,0.025,1.36108,1
100,1,150,0.0157,0.025,0.925807,1
