S,T,K,r,q,price,callPut
100,0.05,96,0.0091,0.022,0.186276,-1
100,0.05,97,0.0091,0.022,0.251218,-1
100,0.05,98,0.0091,0.022,0.330368,-1
100,0.05,99,0.0091,0.022,0.425642,-1
100,0.05,103,0.0091,0.022,10.3867,1
100,0.05,104,0.0091,0.022,9.71108,1
100,0.05,105,0.0091,0.022,9.06167,1
100,0.05,106,0.0091,0.022,8.43948,1
100,0.13,90,0.0091,0.022,29.9644,1
100,0.13,95,0.0091,0.022,26.3352,1
100,0.13,98,0.0091,0.022,24.2394,1
100,0.13,102,0.0091,0.022,1.13633,-1
100,0.13,105,0.0091,0.022,1.57025,-1
100,0.13,110,0.0091,0.022,2.5242,-1
100,0.25,70,0.0113,0.023,52.8455,1
100,0.25,80,0.0113,0.023,0.133015,-1
100,0.25,90,0.0113,0.023,0.459468,-1
100,0.25,115,0.0113,0.023,26.0962,1
100,0.5,60,0.0113,0.025,0.0367054,-1
100,0.5,95,0.0113,0.025,0.978285,-1
100,0.5,130,0.0113,0.025,38.6522,1
100,0.5,150,0.0113,0.025,32.3733,1
100,1,50,0.0157,0.025,71.9373,1
100,1,75,0.0157,0.025,0.334706,-1
100,1,110,0.0157,0.025,1.51404,-1
100,1,125,0.0157,0.025,62.7444,1
100,1,150,0.0157,0.025,58.0383,1
